PyTorch APIs,MindSpore APIs,说明
torchtext.datasets.AmazonReviewPolarity,mindspore.dataset.AmazonReviewDataset,差异对比
torchtext.datasets.CoNLL2000Chunking,mindspore.dataset.CoNLL2000Dataset,差异对比
torchtext.datasets.DBpedia,mindspore.dataset.DBpediaDataset,差异对比
torchtext.datasets.IMDB,mindspore.dataset.IMDBDataset,差异对比
torchtext.datasets.IWSLT2016,mindspore.dataset.IWSLT2016Dataset,差异对比
torchtext.datasets.IWSLT2017,mindspore.dataset.IWSLT2017Dataset,差异对比
torchtext.datasets.PennTreebank,mindspore.dataset.PennTreebankDataset,差异对比
torchtext.datasets.SogouNews,mindspore.dataset.SogouNewsDataset,差异对比
torchtext.datasets.SQuAD1,mindspore.dataset.SQuADDataset,差异对比
torchtext.datasets.SQuAD2,mindspore.dataset.SQuADDataset,差异对比
torchtext.datasets.UDPOS,mindspore.dataset.UDPOSDataset,差异对比
torchtext.datasets.WikiText103,mindspore.dataset.WikiTextDataset,差异对比
torchtext.datasets.WikiText2,mindspore.dataset.WikiTextDataset,差异对比
torchtext.datasets.YahooAnswers,mindspore.dataset.YahooAnswersDataset,差异对比
torchtext.datasets.YelpReviewFull,mindspore.dataset.YelpReviewDataset,差异对比
torchtext.datasets.YelpReviewPolarity,mindspore.dataset.YelpReviewDataset,差异对比
torchvision.datasets.CelebA,mindspore.dataset.CelebADataset,差异对比
torchvision.datasets.Cityscapes,mindspore.dataset.CityscapesDataset,差异对比
torchvision.datasets.CIFAR10,mindspore.dataset.Cifar10Dataset,差异对比
torchvision.datasets.CIFAR100,mindspore.dataset.Cifar100Dataset,差异对比
torchvision.datasets.CocoDetection,mindspore.dataset.CocoDataset,差异对比
torchvision.datasets.ImageFolder,mindspore.dataset.ImageFolderDataset,差异对比
torchvision.datasets.MNIST,mindspore.dataset.MnistDataset,差异对比
torchvision.datasets.VOCDetection,mindspore.dataset.VOCDataset,差异对比
torchvision.datasets.VOCSegmentation,mindspore.dataset.VOCDataset,差异对比
torchvision.ops.nms,mindspore.ops.NMSWithMask,差异对比
torchvision.ops.roi_align,mindspore.ops.ROIAlign,差异对比
torchvision.transforms.CenterCrop,mindspore.dataset.vision.CenterCrop,一致
torchvision.transforms.ColorJitter,mindspore.dataset.vision.RandomColorAdjust,一致
torchvision.transforms.Compose,mindspore.dataset.transforms.Compose,一致
torchvision.transforms.ConvertImageDtype,mindspore.dataset.transforms.TypeCast,差异对比
torchvision.transforms.FiveCrop,mindspore.dataset.vision.FiveCrop,一致
torchvision.transforms.GaussianBlur,mindspore.dataset.vision.GaussianBlur,一致
torchvision.transforms.Grayscale,mindspore.dataset.vision.Grayscale,一致
torchvision.transforms.LinearTransformation,mindspore.dataset.vision.LinearTransformation,一致
torchvision.transforms.Normalize,mindspore.dataset.vision.Normalize,差异对比
torchvision.transforms.Pad,mindspore.dataset.vision.Pad,功能一致，参数名不同
torchvision.transforms.RandomAffine,mindspore.dataset.vision.RandomAffine,差异对比
torchvision.transforms.RandomApply,mindspore.dataset.transforms.RandomApply,功能一致，参数名不同
torchvision.transforms.RandomChoice,mindspore.dataset.transforms.RandomChoice,一致
torchvision.transforms.RandomCrop,mindspore.dataset.vision.RandomCrop,功能一致，参数名不同
torchvision.transforms.RandomGrayscale,mindspore.dataset.vision.RandomGrayscale,功能一致，参数名不同
torchvision.transforms.RandomHorizontalFlip,mindspore.dataset.vision.RandomHorizontalFlip,功能一致，参数名不同
torchvision.transforms.RandomOrder,mindspore.dataset.transforms.RandomOrder,一致
torchvision.transforms.RandomPerspective,mindspore.dataset.vision.RandomPerspective,差异对比
torchvision.transforms.RandomResizedCrop,mindspore.dataset.vision.RandomResizedCrop,差异对比
torchvision.transforms.RandomRotation,mindspore.dataset.vision.RandomRotation,差异对比
torchvision.transforms.RandomVerticalFlip,mindspore.dataset.vision.RandomVerticalFlip,功能一致，参数名不同
torchvision.transforms.Resize,mindspore.dataset.vision.Resize,一致
torchvision.transforms.TenCrop,mindspore.dataset.vision.TenCrop,功能一致，参数名不同
torchvision.transforms.ToPILImage,mindspore.dataset.vision.ToPIL,差异对比
torchvision.transforms.ToTensor,mindspore.dataset.vision.ToTensor,差异对比
torchvision.ops.deform_conv2d,mindspore.ops.deformable_conv2d,差异对比
